,,Sub-head (Code),Approved projects,"Approved project estimate
$¡¦000","Actual expenditure to 31.3.2017
$¡¦000","Revised estimate 2017¡V18
$¡¦000","Estimate 2018¡V19
$¡¦000"
Community and External Affairs,"Recreation, Culture and Amenities¡XCultural facilities",3059RE,Construction of an Annex Building at the Ko Shan Theatre,683200,591233,16000,800
Community and External Affairs,"Recreation, Culture and Amenities¡XCultural facilities",3060RE,Construction of the East Kowloon Cultural Centre,4175700,136404,250000,550000
Community and External Affairs,"Recreation, Culture and Amenities¡XCultural facilities",3066RE,Expansion and Renovation of the Hong Kong Museum of Art,934400,134130,365000,223400
Community and External Affairs,"Recreation, Culture and Amenities¡XCultural facilities",3073RE,New Territories East Cultural Centre¡Xpre-construction works,Cat. B,0,0,5900
Community and External Affairs,"Recreation, Culture and Amenities¡XCultural facilities",3074RE,"Construction of a Heritage Conservation and Resource Centre in Area 109, Tin Shui Wai¡Xpre-construction works",Cat. B,0,0,500
Community and External Affairs,"Recreation, Culture and Amenities¡XMixed amenity packages",3049RG,"Public library and indoor recreation centre in Area 3, Yuen Long",704100,504646,35000,20000
Community and External Affairs,"Recreation, Culture and Amenities¡XMixed amenity packages",3050RG,"District open space, sports centre and library in Area 74, Tseung Kwan O",749200,585080,2800,1000
Community and External Affairs,"Recreation, Culture and Amenities¡XMixed amenity packages",3051RG,Redevelopment of Kwun Tong Swimming Pool Complex and Kwun Tong Recreation Ground,1323800,1036035,100,100
Community and External Affairs,"Recreation, Culture and Amenities¡XMixed amenity packages",3055RG,"Sports centre, community hall and district library in Area 14B, Sha Tin",1084000,681711,65000,2200
Community and External Affairs,"Recreation, Culture and Amenities¡XMixed amenity packages",3056RG,"Government Complex in Area 14 (Siu Lun), Tuen Mun",1250700,125411,270000,260000
Community and External Affairs,"Recreation, Culture and Amenities¡XMixed amenity packages",3057RG,"Sports centre, community hall and football pitches in Area 1, Tai Po",2163100,8451,100000,210000
Community and External Affairs,"Recreation, Culture and Amenities¡XOpen spaces",3427RO,"Open space in Area 47 and 48, North District",Cat. B,0,0,1700
Community and External Affairs,"Recreation, Culture and Amenities¡XOpen spaces",3433RO,"Open space in Area 6, Tai Po",Cat. B,0,0,1100
Community and External Affairs,"Recreation, Culture and Amenities¡XOpen spaces",3434RO,"Open space at Hing Wah Street West, Sham Shui Po",122000,22864,41000,8800
Community and External Affairs,"Recreation, Culture and Amenities¡XOpen spaces",3436RO,Avenue Park at Kai Tak,Cat. B,0,0,15800
Community and External Affairs,"Recreation, Culture and Amenities¡XOpen spaces",3439RO,Kwun Tong promenade (stage 2),250700,204373,3500,1000
Community and External Affairs,"Recreation, Culture and Amenities¡XOpen spaces",3450RO,Converting Tsun Yip Street Playground as Kwun Tong Industrial Culture Park,111100,6081,29000,31200
Community and External Affairs,"Recreation, Culture and Amenities¡XOpen spaces",3452RO,Waterfront promenade adjacent to the Hong Kong Children¡¦s Hospital,Cat. B,0,0,7400
Community and External Affairs,"Recreation, Culture and Amenities¡XOpen spaces",3456RO,Reprovisioning of Shing Yip Street Rest Garden as Tsui Ping River Garden,106700,1205,25000,35000
Community and External Affairs,"Recreation, Culture and Amenities¡XOpen spaces",3466RO,Improvement of Hoi Bun Road Park and adjacent area,Cat. B,0,0,13700
Community and External Affairs,"Recreation, Culture and Amenities¡XOpen spaces",3467RO,Station Square at Kai Tak,Cat. B,0,0,15000
Community and External Affairs,"Recreation, Culture and Amenities¡XSports facilities",3266RS,Redevelopment of Victoria Park Swimming Pool Complex,1197700,931402,5000,45000
Community and External Affairs,"Recreation, Culture and Amenities¡XSports facilities",3269RS,"Sports centre in Area 4, Tsing Yi",774800,466858,13500,12500
Community and External Affairs,"Recreation, Culture and Amenities¡XSports facilities",3272RS,Kai Tak Sports Park¡X construction works,31898000,0,0,218611
Community and External Affairs,"Recreation, Culture and Amenities¡XSports facilities",3273RS,"Sports centre in Area 24D, Sha Tin",639700,90740,110000,235000
Community and External Affairs,"Recreation, Culture and Amenities¡XSports facilities",3275RS,"Provision of heated pool at the Morse Park Swimming Pool Complex, Wong Tai Sin",Cat. B,0,0,10000
Community and External Affairs,"Recreation, Culture and Amenities¡XSports facilities",3277RS,"Sports centre between Tsuen Wan Park and Tsuen Wan Road, Tsuen Wan",765600,57889,270000,4000
Community and External Affairs,"Recreation, Culture and Amenities¡XSports facilities",3281RS,Reprovisioning of Tsun Yip Street Playground facilities to Hong Ning Road Park and Ngau Tau Kok Fresh Water Service Reservoir,382200,0,0,30300
Community and External Affairs,"Recreation, Culture and Amenities¡XSports facilities",3287RS,Kai Tak Multi-purpose Sports Complex¡Xpre-construction works,62700,35719,15500,7664
Community and External Affairs,"Recreation, Culture and Amenities¡XSports facilities",3288RS,"Swimming pool complex and open space in Area 107, Tin Shui Wai",Cat. B,0,0,8000
Community and External Affairs,"Recreation, Culture and Amenities¡XSports facilities",3292RS,"Sports ground and open space in Area 16, Tuen Mun¡X pre-construction works",Cat. B,0,0,7400
Community and External Affairs,"Recreation, Culture and Amenities¡XSports facilities",3294RS,Redevelopment of Yuen Long Stadium¡Xpre-construction works,Cat. B,0,0,2100
Community and External Affairs,Social Welfare and Community Buildings¡XCommunity halls,3191SC,"Community hall and integrated family service centre at Tung Tau Estate phase 9, Wong Tai Sin",54700,52278,500,1900
Community and External Affairs,Social Welfare and Community Buildings¡XCommunity halls,3193SC,"Community hall at the housing site in Area 18, Tuen Mun",74000,59821,400,2000
Community and External Affairs,Social Welfare and Community Buildings¡XCommunity halls,3194SC,Community hall at the eastern part of ex-North Point Estate site,61000,0,0,400
Economic,Support¡XCommerce and industry,3007GA,Cruise terminal building and ancillary facilities for the Kai Tak cruise terminal development,5852100,5252757,5000,4000
Economic,"Posts, Telecommunications and Power¡XPost office",3023PP,Reprovisioning of the Hongkong Post¡¦s Headquarters,Cat. B,0,0,73600
Education,Education¡XPrimary,3299EP,"A 24-classroom primary school in Area 55, Tuen Mun",163500,139806,3000,500
Education,Education¡XPrimary,3300EP,"A 30-classroom primary school in Area 55, Tuen Mun",219800,166291,3000,500
Education,Education¡XPrimary,3330EP,"A 24-classroom primary school at the junction of Victoria Road and Pok Fu Lam Road, Pok Fu Lam",255600,201580,11100,500
Education,Education¡XPrimary,3341EP,"An 18-classroom primary school at Fuk Wing Street, Sham Shui Po",109000,108002,800,100
Education,Education¡XPrimary,3349EP,"A 30-classroom primary school at site 1A-3, Kai Tak development, Kowloon",312400,254590,2500,10000
Education,Education¡XPrimary,3350EP,"A 30-classroom primary school at site 1A-4, Kai Tak development, Kowloon",317500,268011,2000,16000
Education,Education¡XPrimary,3351EP,"Two 24-classroom primary schools at ex-Tanner Road Police Married Quarters site at Pak Fuk Road, North Point, Hong Kong",660000,87073,232400,55000
Education,Education¡XPrimary,3352EP,"A 30-classroom primary school at Tonkin Street, Cheung Sha Wan",Cat. B,0,0,21000
Education,Education¡XPrimary,3353EP,"A 30-classroom primary school at Site KT2b, Development at Anderson Road, Kwun Tong",351100,5181,90000,112000
Education,Education¡XPrimary,3354EP,"A 36-classroom primary school in Area 36, Fanling",417200,165024,115000,8500
Education,Education¡XSecondary,3271ES,"A 30-classroom secondary school at site 1A-2, Kai Tak development",446700,1981,94000,140000
Education,Education¡XOthers,3106ET,"Special school in Area 16, Tuen Mun, for students with physical disability",260400,229151,13000,2000
Education,Education¡XOthers,3107ET,"A school for social development for girls at Choi Hing Road, Kwun Tong, Kowloon",373700,191756,118000,9000
Education,Education¡XOthers,3108ET,"Two special schools at Sung On Street, To Kwa Wan",484000,238732,101000,17000
Education,Education¡XOthers,3109ET,"A school for social development for boys in Area 2B, Tuen Mun",408500,10615,85000,165000
Education,Education¡XOthers,3110ET,"A 12-classroom special school for children with mild intellectual disability near Hoi Lai Estate, Sham Shui Po",256600,45863,110000,50000
Education,Education¡XOthers,3111ET,"A special school for students with mild, moderate and severe intellectual disabilities in Area 108, Tung Chung",334700,0,26000,95000
Environment and Food,"Environmental Hygiene¡XBurial grounds, columbaria and crematoria",3013NB,Reprovisioning of Wo Hop Shek Crematorium,686300,397853,3500,6000
Environment and Food,"Environmental Hygiene¡XBurial grounds, columbaria and crematoria",3016NB,Reprovisioning of Cape Collinson Crematorium,696300,573474,15000,5000
Environment and Food,"Environmental Hygiene¡XBurial grounds, columbaria and crematoria",3019NB,"Provision of a columbarium and garden of remembrance at Tsang Tsui, Tuen Mun",2874300,147826,287300,636000
Environment and Food,"Environmental Hygiene¡XBurial grounds, columbaria and crematoria",3020NB,Reprovisioning of Fu Shan Public Mortuary at Sha Tin,Cat. B,0,0,55000
Environment and Food,"Environmental Hygiene¡XBurial grounds, columbaria and crematoria",3022NB,Provision of columbarium at Wo Hop Shek Cemetery¡XPhase 1,945600,8960,115000,180000
Environment and Food,"Environmental Hygiene¡XBurial grounds, columbaria and crematoria",3023NB,Provision of columbarium at Cape Collinson Road in Chai Wan,Cat. B,0,0,12000
Environment and Food,"Environmental Hygiene¡XBurial grounds, columbaria and crematoria",3026NB,Expansion of Wo Hop Shek Crematorium,Cat. B,0,0,5000
Environment and Food,Environmental Hygiene¡XRetail markets and cooked food centres,3034NM,Installation of air-conditioning system at Tai Wai Market,Cat. B,0,0,4000
Environment and Food,Environmental Hygiene¡XToilets and bathhouses,3013NT,Conversion of aqua privies into flushing toilets¡Xphase 7,383300,257202,9700,3000
Infrastructure,Civil Engineering¡XLand development,3775CL,The demolition of existing structures on Sites A and B1 of the Sung Wong Toi Vehicle Repair and Maintenance Workshop,99300,748,16000,9000
Infrastructure,Civil Engineering¡XLand development,3794CL,"The demolition of existing superstructures at Caroline Hill Road site, Causeway Bay",Cat. B,0,0,18900
