,,Sub-head (Code),Approved projects,"Approved project estimate
$¡¦000","Actual expenditure to 31.3.2017
$¡¦000","Revised estimate 2017¡V18
$¡¦000","Estimate 2018¡V19
$¡¦000"
Infrastructure,Transport¡XFootbridges/pedestrian tunnels,6153TB,Enhancement of footbridges in Tsim Sha Tsui East,71400,55384,120,210
Infrastructure,Transport¡XFootbridges/pedestrian tunnels,6157TB,Centre Street escalator link (stage 1),60700,53367,100,810
Infrastructure,Transport¡XFootbridges/pedestrian tunnels,6158TB,"Elevated walkway between Tong Ming Street and Tong Tak Street, Tseung Kwan O",221600,5543,18980,34271
Infrastructure,Transport¡XFootbridges/pedestrian tunnels,6164TB,"Footbridge connecting Tsuen Wan Plaza, Skyline Plaza and adjacent landscaping area",146200,0,15000,42197
Infrastructure,Transport¡XFootbridges/pedestrian tunnels,6167TB,"Provision of barrier-free access facilities at public footbridges, elevated walkways and subways¡Xdesign works and phase 1 construction works",292100,220765,12230,6635
Infrastructure,Transport¡XFootbridges/pedestrian tunnels,6168TB,Lift and pedestrian walkway system at Waterloo Hill,116700,5135,21000,32536
Infrastructure,Transport¡XFootbridges/pedestrian tunnels,6169TB,"Lift and pedestrian walkway system at Cheung Hang Estate, Tsing Yi",222700,2891,35000,50720
Infrastructure,Transport¡XFootbridges/pedestrian tunnels,6173TB,Extension of the CITIC Tower Footbridge to the Legislative Council Complex at Tamar,74300,47818,2000,2000
Infrastructure,Transport¡XFootbridges/pedestrian tunnels,6175TB,"Lift and pedestrian walkway system between Kwai Shing Circuit and Hing Shing Road, Kwai Chung",239400,0,21900,36000
Infrastructure,Transport¡XFootbridges/pedestrian tunnels,6178TB,"Lift and pedestrian walkway system between Castle Peak Road and Kung Yip Street, Kwai Chung",Cat. B,0,0,10828
Infrastructure,Transport¡XFootbridges/pedestrian tunnels,6182TB,Elevated pedestrian corridor in Yuen Long Town connecting with Long Ping Station,Cat. B,0,0,93568
Infrastructure,Transport¡XFootbridges/pedestrian tunnels,6185TB,"Lift and pedestrian walkway system between Tai Wo Hau Road and Wo Tong Tsui Street, Kwai Chung",249400,0,0,7159
Infrastructure,Transport¡XInterchanges/bus termini,6045TI,"Transport terminus in Area 35, Tsuen Wan",20900,0,0,20900
Infrastructure,Transport¡XInterchanges/bus termini,6067TI,Public transport interchange at Hung Hom Bay Reclamation,48100,0,200,47466
Infrastructure,Transport¡XInterchanges/bus termini,6076TI,Bus-bus interchanges on Tuen Mun Road,205300,186479,3093,4641
Infrastructure,Transport¡XInterchanges/bus termini,6078TI,Covered public transport terminus at the eastern part of the ex-North Point Estate site,43700,0,0,39600
Infrastructure,Transport¡XRailways,6038TR,West Rail (phase 1)¡Xessential public infrastructure works for Tuen Mun section,493500,403886,0,5630
Infrastructure,Transport¡XRailways,6051TR,Shatin to Central Link¡Xdesign and site investigation,2407500,2335104,196,12825
Infrastructure,Transport¡XRailways,6052TR,Hong Kong section of Guangzhou¡VShenzhen¡VHong Kong Express Rail Link¡Xdesign and site investigation,2782600,2575826,60000,30000
Infrastructure,Transport¡XRailways,6053TR,Hong Kong section of Guangzhou¡VShenzhen¡VHong Kong Express Rail Link¡Xconstruction of railway works,70405000,57503656,6170000,2380000
Infrastructure,Transport¡XRailways,6055TR,West Island Line¡Xessential public infrastructure works,103600,69592,1532,300
Infrastructure,Transport¡XRailways,6056TR,South Island Line (East)¡Xessential public infrastructure works,1213200,810817,55730,106860
Infrastructure,Transport¡XRailways,6057TR,Hong Kong section of Guangzhou¡VShenzhen¡VHong Kong Express Rail Link¡Xconstruction of nonrailway works,16015000,13085175,2110000,630000
Infrastructure,Transport¡XRailways,6060TR,Kwun Tong Line Extension¡Xessential public infrastructure works,826900,583572,95217,95218
Infrastructure,Transport¡XRailways,6061TR,Shatin to Central Link¡Xconstruction of railway works¡Xremaining works,65433300,40453286,9184791,6916850
Infrastructure,Transport¡XRailways,6062TR,Shatin to Central Link¡Xconstruction of non-railway works¡Xremaining works,5983100,4407336,578781,799200
Infrastructure,Transport¡XRailways,6063TR,Shatin to Central Link¡Xconstruction of railway works¡Xadvance works,7102600,5793241,498984,50145
