,,Sub-head (Code),Approved projects,"Approved project estimate
$¡¦000","Actual expenditure to 31.3.2017
$¡¦000","Revised estimate 2017¡V18
$¡¦000","Estimate 2018¡V19
$¡¦000"
Environment,Environmental Protection¡XSewerage and sewage treatment,4143DS,"Central, Western and Wan Chai West sewerage, stage 2 phase 2B works",253400,249472,1200,1300
Environment,Environmental Protection¡XSewerage and sewage treatment,4215DS,"Yuen Long and Kam Tin sewerage and sewage disposal¡XKam Tin trunk sewerage, phase 1 and Au Tau trunk sewers",477600,474605,500,2494
Environment,Environmental Protection¡XSewerage and sewage treatment,4222DS,"Tai Po sewage treatment works, stage 5 phase 1",463300,384653,1000,6000
Environment,Environmental Protection¡XSewerage and sewage treatment,4224DS,"Outlying Islands sewerage, stage 1 phase 1C¡Xupgrading of Siu Ho Wan sewage treatment plant",779400,505333,5800,2800
Environment,Environmental Protection¡XSewerage and sewage treatment,4236DS,"Tai Po sewage treatment works, stage 5 phase 2B",659000,501445,19097,8100
Environment,Environmental Protection¡XSewerage and sewage treatment,4282DS,"Central, Western and Wan Chai West sewerage, stage 1 works",1815000,1681469,593,905
Environment,Environmental Protection¡XSewerage and sewage treatment,4329DS,Upgrading of Pillar Point sewage treatment works,1920500,1853769,3235,5600
Environment,Environmental Protection¡XSewerage and sewage treatment,4332DS,"Lam Tsuen Valley sewerage, stage 2",588300,356521,35500,2310
Environment,Environmental Protection¡XSewerage and sewage treatment,4333DS,"Central, Western and Wan Chai West sewerage, stage 2 phase 2A works",253800,179410,500,199
Environment,Environmental Protection¡XSewerage and sewage treatment,4341DS,"Harbour Area Treatment Scheme, stage 2A¡Xupgrading of Stonecutters Island sewage treatment works and preliminary treatment works",7913400,6536269,567584,227000
Environment,Environmental Protection¡XSewerage and sewage treatment,4344DS,Upgrading of Central and East Kowloon sewerage¡Xphase 3,Cat. B,0,0,11900
Environment,Environmental Protection¡XSewerage and sewage treatment,4348DS,"North District and Tolo Harbour sewerage, sewage treatment and disposal¡Xregional sewerage works, part 1¡Xsewerage upgrade",793200,689483,9000,300
Environment,Environmental Protection¡XSewerage and sewage treatment,4350DS,Yuen Long and Kam Tin sewerage and sewage disposal¡Xconsultants¡¦ fees and investigations,28000,11604,5430,2500
Environment,Environmental Protection¡XSewerage and sewage treatment,4351DS,"Harbour Area Treatment Scheme, stage 2A¡Xplanning and design of the upgrading works of Stonecutters Island sewage treatment works and the preliminary treatment works",105600,72151,800,150
Environment,Environmental Protection¡XSewerage and sewage treatment,4364DS,"Lam Tsuen Valley sewerage¡Xtrunk sewers, pumping station and rising mains",162800,135786,500,6050
Environment,Environmental Protection¡XSewerage and sewage treatment,4366DS,"Kau Lung Hang sewerage¡Xtrunk sewers, pumping station and rising mains",103200,85221,500,849
