,,Sub-head (Code),Approved projects,"Approved project estimate
$¡¦000","Actual expenditure to 31.3.2017
$¡¦000","Revised estimate 2017¡V18
$¡¦000","Estimate 2018¡V19
$¡¦000"
Community and External Affairs,"Recreation, Culture and Amenities¡XCultural facilities",7067RE,Signature Project Scheme (Yau Tsim Mong District)¡XYau Tsim Mong Multicultural Activity Centre,53600,1887,13925,26934
Community and External Affairs,"Recreation, Culture and Amenities¡XCultural facilities",7068RE,Signature Project Scheme (Wan Chai District)¡XConstruction of Moreton Terrace Activities Centre,Cat. B,0,0,4200
Community and External Affairs,"Recreation, Culture and Amenities¡XCultural facilities",7069RE,Signature Project Scheme (Tai Po District)¡XEstablishment of an arts centre by retrofitting Tai Po Government Secondary School,68000,4,9580,55330
Community and External Affairs,"Recreation, Culture and Amenities¡XCultural facilities",7070RE,Signature Project Scheme (Wong Tai Sin District)¡XEnhancement of Leisure Facilities of Morse Park,60900,2915,10600,13100
Community and External Affairs,"Recreation, Culture and Amenities¡XMixed amenity packages",7059RG,Signature Project Scheme (North District)¡XImprovement of trails and provision of ancillary facilities at Wu Tip Shan and Wa Mei Shan in Fanling,48400,8970,14000,20000
Community and External Affairs,"Recreation, Culture and Amenities¡XMixed amenity packages",7060RG,Signature Project Scheme (North District)¡XImprovement of trails and provision of facilities in Sha Tau Kok,43700,6724,14000,20000
Community and External Affairs,"Recreation, Culture and Amenities¡XMixed amenity packages",7061RG,"Signature Project Scheme (Islands District)¡XYung Shue Wan Library cum Heritage and Cultural Showroom, Lamma Island",44800,1101,19500,22600
Community and External Affairs,"Recreation, Culture and Amenities¡XMixed amenity packages",7065RG,Signature Project Scheme (Sham Shui Po District)¡XMei Foo Neighbourhood Activity Centre,32000,7913,12449,4000
Community and External Affairs,"Recreation, Culture and Amenities¡XMixed amenity packages",7066RG,Signature Project Scheme (Tuen Mun District)¡XPromotion of youth development in Tuen Mun,3700,34,2500,1166
Community and External Affairs,"Recreation, Culture and Amenities¡XMixed amenity packages",7067RG,Signature Project Scheme (Sai Kung District)¡XConstruction of the Tseung Kwan O Heritage Hiking Trail and the Heritage Information Centre,45400,0,16000,26600
Community and External Affairs,"Recreation, Culture and Amenities¡XOpen spaces",7448RO,"Improvement works at Mui Wo, phase 1",193100,172115,10424,7264
Community and External Affairs,"Recreation, Culture and Amenities¡XOpen spaces",7453RO,Signature Project Scheme (Central and Western District)¡XHarbourfront enhancement and revitalisation at the Western Wholesale Food Market,90100,21894,44800,6000
Community and External Affairs,"Recreation, Culture and Amenities¡XOpen spaces",7454RO,Signature Project Scheme (Sha Tin District)¡XRevitalisation of Shing Mun River Promenade near Sha Tin Town Centre,53600,11685,24030,17885
Community and External Affairs,"Recreation, Culture and Amenities¡XOpen spaces",7455RO,Signature Project Scheme (Wong Tai Sin District)¡XExpansion and improvement of Wong Tai Sin Square,31100,16701,9000,5373
Community and External Affairs,"Recreation, Culture and Amenities¡XOpen spaces",7458RO,Signature Project Scheme (Kwun Tong District)¡XConstruction of music fountains at Kwun Tong Promenade,Cat. B,0,0,4200
Community and External Affairs,"Recreation, Culture and Amenities¡XOpen spaces",7460RO,Signature Project Scheme (Kwun Tong District)¡XConstruction of lift tower at Shung Yan Street in Kwun Tong,40700,846,4200,9000
Community and External Affairs,"Recreation, Culture and Amenities¡XOpen spaces",7461RO,Signature Project Scheme (Tsuen Wan District)¡XRedevelopment of Sai Lau Kok Garden,95000,4289,30500,31120
Community and External Affairs,"Recreation, Culture and Amenities¡XOpen spaces",7462RO,Signature Project Scheme (Kowloon City District)¡XRevitalisation of the rear portion of the Cattle Depot,90100,1705,29000,28720
Community and External Affairs,"Recreation, Culture and Amenities¡XOpen spaces",7463RO,Signature Project Scheme (Eastern District)¡XEastern District Cultural Square,90600,2978,24000,32000
Community and External Affairs,"Recreation, Culture and Amenities¡XOpen spaces",7464RO,"Improvement works at Mui Wo, phase 2 stage 1",72300,5861,27000,20000
Community and External Affairs,"Recreation, Culture and Amenities¡XOpen spaces",7465RO,Signature Project Scheme (Tuen Mun District)¡XRevitalisation of Tuen Mun River and surrounding areas,62500,1034,14400,25667
Community and External Affairs,"Recreation, Culture and Amenities¡XOpen spaces",7469RO,"Improvement works at Tai O, phase 2 stage 1",124000,8093,36010,24894
Community and External Affairs,"Recreation, Culture and Amenities¡XSports facilities",7259RS,Cycle tracks connecting North West New Territories with North East New Territories¡XTuen Mun to Sheung Shui section (Remaining),890900,98489,123710,207000
Community and External Affairs,"Recreation, Culture and Amenities¡XSports facilities",7271RS,Cycle tracks connecting North West New Territories with North East New Territories¡XSheung Shui to Ma On Shan section,230300,226611,220,3468
Community and External Affairs,"Recreation, Culture and Amenities¡XSports facilities",7276RS,Cycle track between Tsuen Wan and Tuen Mun¡Xdetailed design and site investigation (advance and stage 1 works),28200,4343,621,1251
Community and External Affairs,"Recreation, Culture and Amenities¡XSports facilities",7279RS,Cycle tracks connecting North West New Territories with North East New Territories¡XTuen Mun to Sheung Shui section (stage 1),295400,211164,15860,25315
Community and External Affairs,"Recreation, Culture and Amenities¡XSports facilities",7285RS,"Signature Project Scheme (Islands District)¡XImprovement works at Silvermine Bay Beach, Mui Wo, Lantau Island",65100,3494,37000,15800
Community and External Affairs,"Recreation, Culture and Amenities¡XSports facilities",7293RS,Cycle track between Tsuen Wan and Tuen Mun¡Xadvance works,Cat. B,0,0,29000
Community and External Affairs,Social Welfare and Community Buildings¡XCommunity centres and halls,7200SC,Signature Project Scheme (Sham Shui Po District)¡XShek Kip Mei Community Services Centre,51100,6711,6960,18839
Community and External Affairs,Social Welfare and Community Buildings¡XCommunity centres and halls,7201SC,Signature Project Scheme (Yuen Long District)¡XConstruction of a Yuen Long District Community Services Building,118000,4851,28000,76050
Economic,Air and Sea Communications¡XAirport,7067GI,Development of Government Helipad at the Hong Kong Convention and Exhibition Centre,59100,52510,2640,870
Infrastructure,Civil Engineering¡XDrainage and erosion protection,7167CD,Kai Tak development¡Xreconstruction and upgrading of Kai Tak Nullah,2488200,1267307,458500,145000
Infrastructure,Civil Engineering¡XDrainage and erosion protection,7170CD,Signature Project Scheme (Sha Tin District)¡XDecking of Tai Wai Nullah in Sha Tin,78000,14501,28520,22500
Infrastructure,Civil Engineering¡XLand development,7177CL,"Sha Tin New Town, remaining engineering works",534600,530500,530,105
Infrastructure,Civil Engineering¡XLand development,7343CL,Central Reclamation phase 3¡Xengineering works,5761500,5638614,16266,11603
Infrastructure,Civil Engineering¡XLand development,7458CL,"Sha Tin New Town, stage 2¡Xconstruction of Road T3",2120200,2111140,990,1196
Infrastructure,Civil Engineering¡XLand development,7663CL,Site investigation works and consultants¡¦ fees for remaining engineering infrastructure works for Pak Shek Kok development,30300,19558,120,109
